#      n_Li         E_nn       E_site            f          f_I          D_t       D_c oll       n_oct        n_tet

# E_nn = 0.0 E_site = 0.0
         32          0.5          5.0        0.833        0.888     9.79E-09     1.04E-08         0.44        31.56
         64          0.5          5.0        0.667        0.789    7.298E-09    8.644E-09         0.96        63.04
         96          0.5          5.0        0.502        0.647    5.079E-09    6.548E-09         1.63        94.37
        128          0.5          5.0        0.349        0.490    3.246E-09    4.565E-09         2.75       125.25
        160          0.5          5.0        0.222        0.343    1.884E-09    2.915E-09         5.55       154.45
        192          0.5          5.0        0.167        0.255    1.293E-09    1.971E-09        15.27       176.73
        224          0.5          5.0        0.221        0.339    1.570E-09    2.404E-09        38.30       185.70
        256          0.5          5.0        0.296        0.483    1.937E-09    3.157E-09        67.63       188.37
        288          0.5          5.0        0.349        0.578    2.108E-09    3.489E-09        98.60       189.40
        320          0.5          5.0        0.380        0.687    2.103E-09    3.797E-09       130.06       189.94
        352          0.5          5.0        0.393        0.767    1.970E-09    3.842E-09       161.72       190.28
        384          0.5          5.0        0.391        0.804    1.747E-09    3.585E-09       193.45       190.55
        416          0.5          5.0        0.379        0.877    1.468E-09    3.393E-09       225.22       190.78
        448          0.5          5.0        0.361        0.892    1.165E-09    2.878E-09       256.99       191.01
        480          0.5          5.0        0.338        0.898    8.532E-10    2.264E-09       288.77       191.23
        512          0.5          5.0        0.312        0.951    5.467E-10    1.669E-09       320.53       191.47
        544          0.5          5.0        0.283        0.987    2.588E-10    9.029E-10       352.28       191.72
        575          0.5          5.0        0.251        1.005    7.468E-12    2.995E-11       383.01       191.99

# E_nn = 1.0 E_site = 0.0
          1          1.0          0.0        0.998        0.998    6.280E-07    6.280E-07         0.67         0.33
         32          1.0          0.0        0.913        0.967    5.172E-07    5.482E-07        21.86        10.14
         64          1.0          0.0        0.835        0.968    4.206E-07    4.872E-07        44.95        19.05
         96          1.0          0.0        0.770        0.963    3.406E-07    4.258E-07        69.52        26.48
        128          1.0          0.0        0.715        0.911    2.740E-07    3.490E-07        95.72        32.28
        160          1.0          0.0        0.670        0.924    2.195E-07    3.026E-07       123.54        36.46
        192          1.0          0.0        0.631        0.913    1.739E-07    2.515E-07       152.82        39.18
        224          1.0          0.0        0.597        0.919    1.361E-07    2.095E-07       183.23        40.77
        256          1.0          0.0        0.563        0.904    1.043E-07    1.676E-07       214.26        41.74
        288          1.0          0.0        0.526        0.902    7.784E-08    1.335E-07       245.29        42.71
        320          1.0          0.0        0.485        0.903    5.637E-08    1.050E-07       275.35        44.65
        352          1.0          0.0        0.437        0.896    3.961E-08    8.125E-08       302.92        49.08
        384          1.0          0.0        0.390        0.877    2.767E-08    6.229E-08       325.85        58.15
        416          1.0          0.0        0.353        0.880    1.988E-08    4.959E-08       342.65        73.35
        448          1.0          0.0        0.329        0.925    1.462E-08    4.110E-08       354.24        93.76
        480          1.0          0.0        0.312        0.943    1.039E-08    3.140E-08       362.93       117.07
        512          1.0          0.0        0.295        0.959    6.586E-09    2.141E-08       370.31       141.69
        544          1.0          0.0        0.275        0.982    3.075E-09    1.098E-08       377.20       166.80
        575          1.0          0.0        0.251        1.006    8.777E-11    3.519E-10       383.79       191.21

# E_nn = 1.0 E_site = 1.0
          1          1.0          1.0        0.991        0.991    3.964E-07    3.964E-07         0.42         0.58
         32          1.0          1.0        0.935        0.988    3.604E-07    3.806E-07        13.79        18.21
         64          1.0          1.0        0.870        0.969    3.204E-07    3.567E-07        28.33        35.67
         96          1.0          1.0        0.804        0.968    2.815E-07    3.381E-07        44.24        51.76
        128          1.0          1.0        0.745        0.965    2.465E-07    3.184E-07        62.65        65.35
        160          1.0          1.0        0.691        0.951    2.142E-07    2.935E-07        85.26        74.74
        192          1.0          1.0        0.647        0.944    1.860E-07    2.698E-07       113.15        78.85
        224          1.0          1.0        0.607        0.923    1.587E-07    2.394E-07       145.30        78.70
        256          1.0          1.0        0.569        0.908    1.323E-07    2.117E-07       179.55        76.45
        288          1.0          1.0        0.530        0.912    1.077E-07    1.870E-07       214.25        73.75
        320          1.0          1.0        0.488        0.911    8.488E-08    1.600E-07       248.18        71.82
        352          1.0          1.0        0.442        0.886    6.517E-08    1.328E-07       280.21        71.79
        384          1.0          1.0        0.383        0.855    4.884E-08    1.082E-07       307.97        76.03
        416          1.0          1.0        0.363        0.898    3.666E-08    8.680E-08       326.08        89.92
        448          1.0          1.0        0.348        0.968    2.655E-08    7.148E-08       340.13       107.87
        480          1.0          1.0        0.329        0.969    1.801E-08    5.225E-08       352.35       127.65
        512          1.0          1.0        0.306        0.984    1.077E-08    3.412E-08       363.45       148.55
        544          1.0          1.0        0.279        0.988    4.754E-09    1.675E-08       373.90       170.10
        575          1.0          1.0        0.251        1.010    1.287E-10    5.151E-10       383.69       191.31

# E_nn = 1.0 E_site = 2.0
